Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 1111,https://www.congress.gov/bill/118th-congress/house-bill/1111,118th Congress (2023-2024),Department of Peacebuilding Act of 2023,,"Lee, Barbara [Rep.-D-CA-12]",2/21/23,Referred to the House Committee on Oversight and Accountability.,2/21/23,Government Operations and Politics,Women's rights,Computers and information technology,Advanced technology and technological innovations,Advisory bodies,Air quality,Alternative and renewable resources,"Alternative dispute resolution, mediation, arbitration",Animal protection and human-animal relationships,Arms control and nonproliferation,Assault and harassment offenses,Child health,Child safety and welfare,Civics education,Climate change and greenhouse gases,Commemorative events and holidays,Community life and organization,Conflicts and wars,Correctional facilities and imprisonment,Crime prevention,Crime victims,Crimes against children,Crimes against women,Cultural exchanges and relations,Detention of persons,"Diplomacy, foreign officials, Americans abroad",Domestic violence and child abuse,"Drug, alcohol, tobacco use",Economic development,Economic performance and conditions,Elementary and secondary education,Emergency medical services and trauma care,Employment discrimination and employee rights,Environmental education,Executive agency funding and structure,Firearms and explosives,Foreign aid and international relief,Government information and archives,Government studies and investigations,Hate crimes,Hazardous wastes and toxic substances,Health promotion and preventive care,"Health technology, devices, supplies",Higher education,Human rights,Human trafficking,Immigration status and procedures,Immunology and vaccination,Infectious and parasitic diseases,International organizations and cooperation,Juvenile crime and gang violence,Land use and conservation,Law enforcement administration and funding,Mental health,Natural disasters,News media and reporting,Nuclear weapons,Preschool education,Protest and dissent,Racial and ethnic relations,Radioactive wastes and releases,Reconstruction and stabilization,"Refugees, asylum, displaced persons",Rule of law and government transparency,Sex offenses,"Sex, gender, sexual orientation discrimination","Teaching, teachers, curricula",Technology assessment,United Nations,Violent crime,"War crimes, genocide, crimes against humanity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 444,https://www.congress.gov/bill/118th-congress/house-bill/444,118th Congress (2023-2024),End For-Profit Prisons Act of 2023,,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",1/20/23,Referred to the House Committee on the Judiciary.,1/20/23,Congressional oversight,Correctional facilities and imprisonment,Criminal procedure and sentencing,"Government employee pay, benefits, personnel management",Public contracts and procurement,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4325,https://www.congress.gov/bill/118th-congress/house-bill/4325,118th Congress (2023-2024),Historically Underserved Veterans Inclusion Act of 2023,,"Cherfilus-McCormick, Sheila [Rep.-D-FL-20]",6/23/23,Referred to the House Committee on Veterans' Affairs.,6/23/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4231,https://www.congress.gov/bill/118th-congress/house-bill/4231,118th Congress (2023-2024),Downpayment Toward Equity Act of 2023,,"Waters, Maxine [Rep.-D-CA-43]",6/21/23,Referred to the House Committee on Financial Services.,6/21/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3344,https://www.congress.gov/bill/118th-congress/house-bill/3344,118th Congress (2023-2024),Justice for Incarcerated Moms Act,,"Pressley, Ayanna [Rep.-D-MA-7]",5/15/23,Referred to the House Committee on the Judiciary.,5/15/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 460,https://www.congress.gov/bill/118th-congress/house-resolution/460,118th Congress (2023-2024),Expressing the sense of the House of Representatives that the Congress should enact the Older Americans Bill of Rights to establish that older Americans should have the right to live with dignity and with independence.,,"Schakowsky, Janice D. [Rep.-D-IL-9]",5/31/23,Referred to the Subcommittee on Health.,6/2/23,Social Welfare,Computer security and identity theft,Domestic violence and child abuse,Age discrimination,Voting rights,"Social work, volunteer service, charitable organizations",Social security and elderly assistance,Prescription drugs,Nutrition and diet,Medicare,Medicaid,"Internet, web applications, social media",Housing supply and affordability,Home and outpatient care,Health promotion and preventive care,Health facilities and institutions,Health care coverage and access,Health care costs and insurance,Employment discrimination and employee rights,Employment and training programs,Employee benefits and pensions,"Elections, voting, political campaign regulation",Aging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1493,https://www.congress.gov/bill/118th-congress/house-bill/1493,118th Congress (2023-2024),HCBS Access Act,,"Dingell, Debbie [Rep.-D-MI-6]",3/9/23,Referred to the Subcommittee on Health.,3/17/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5572,https://www.congress.gov/bill/118th-congress/house-bill/5572,118th Congress (2023-2024),Civilian Climate Corps for Jobs and Justice Act,,"Ocasio-Cortez, Alexandria [Rep.-D-NY-14]",9/19/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/19/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1167,https://www.congress.gov/bill/118th-congress/house-bill/1167,118th Congress (2023-2024),Justice for Black Farmers Act of 2023,,"Adams, Alma S. [Rep.-D-NC-12]",2/24/23,"Referred to the Committee on Agriculture, and in addition to the Committees on Education and the Workforce, Financial Services, the Judiciary, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2/24/23,Agriculture and Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6173,https://www.congress.gov/bill/118th-congress/house-bill/6173,118th Congress (2023-2024),"Tech Safety for Victims of Domestic Violence, Dating Violence, Sexual Assault, and Stalking Act",,"Eshoo, Anna G. [Rep.-D-CA-16]",11/2/23,Referred to the House Committee on the Judiciary.,11/2/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 123,https://www.congress.gov/bill/118th-congress/house-bill/123,118th Congress (2023-2024),Alternative Data for Additional Credit FHA Pilot Program Reauthorization Act,,"Green, Al [Rep.-D-TX-9]",1/9/23,Referred to the House Committee on Financial Services.,1/9/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5327,https://www.congress.gov/bill/118th-congress/house-bill/5327,118th Congress (2023-2024),Empowering Parents Act,,"Good, Bob [Rep.-R-VA-5]",9/1/23,Referred to the House Committee on Education and the Workforce.,9/1/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2848,https://www.congress.gov/bill/118th-congress/house-bill/2848,118th Congress (2023-2024),Freedom to Move Act,,"Pressley, Ayanna [Rep.-D-MA-7]",4/25/23,Referred to the Subcommittee on Highways and Transit.,4/26/23,Transportation and Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 305,https://www.congress.gov/bill/118th-congress/house-bill/305,118th Congress (2023-2024),"One School, One Nurse Act of 2023",,"Wilson, Frederica S. [Rep.-D-FL-24]",1/11/23,Referred to the Subcommittee on Health.,1/20/23,Education,Administrative law and regulatory procedures,Employee hiring,Elementary and secondary education,Government information and archives,Nursing,Performance measurement,State and local government operations,Education programs funding,Department of Education,Child health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4498,https://www.congress.gov/bill/118th-congress/house-bill/4498,118th Congress (2023-2024),Jobs of the Future Act of 2023,,"Soto, Darren [Rep.-D-FL-9]",7/6/23,"Referred to the Committee on Education and the Workforce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/6/23,Labor and Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1372,https://www.congress.gov/bill/118th-congress/house-bill/1372,118th Congress (2023-2024),American Patriots of WWII through Service with the Canadian and British Armed Forces Gold Medal Act of 2023,,"Spanberger, Abigail Davis [Rep.-D-VA-7]",3/3/23,"Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/3/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 522,https://www.congress.gov/bill/118th-congress/house-resolution/522,118th Congress (2023-2024),"Recognizing the role of father engagement in improving overall health outcomes during pregnancy, birth, and postpartum, for both the mother and baby.",,"Veasey, Marc A. [Rep.-D-TX-33]",6/16/23,Referred to the Subcommittee on Health.,6/23/23,Families,Sex and reproductive health,Family relationships,Child health,Women's health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3179,https://www.congress.gov/bill/118th-congress/house-bill/3179,118th Congress (2023-2024),Supporting Apprenticeship Colleges Act of 2023,,"Craig, Angie [Rep.-D-MN-2]",5/10/23,Referred to the House Committee on Education and the Workforce.,5/10/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 551,https://www.congress.gov/bill/118th-congress/house-resolution/551,118th Congress (2023-2024),Fully addressing child poverty.,,"Lee, Barbara [Rep.-D-CA-12]",6/23/23,Referred to the House Committee on Oversight and Accountability.,6/23/23,Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2394,https://www.congress.gov/bill/118th-congress/house-bill/2394,118th Congress (2023-2024),Protection from Abusive Passengers Act,,"Swalwell, Eric [Rep.-D-CA-14]",3/29/23,Referred to the Subcommittee on Aviation.,3/30/23,Transportation and Public Works,Assault and harassment offenses,Aviation and airports,Worker safety and health,Transportation safety and security,Transportation employees,Terrorism,Right of privacy,Government studies and investigations,Government information and archives,Congressional oversight,Civil actions and liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 626,https://www.congress.gov/bill/118th-congress/house-bill/626,118th Congress (2023-2024),Breaking the Gridlock Act,,"DeSaulnier, Mark [Rep.-D-CA-10]",1/30/23,Referred to the Subcommittee on the National Intelligence Enterprise.,3/7/23,Emergency Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4801,https://www.congress.gov/bill/118th-congress/house-bill/4801,118th Congress (2023-2024),HONEST Enterprise Act,,"Phillips, Dean [Rep.-D-MN-3]",7/20/23,"Referred to the Subcommittee on Innovation, Data, and Commerce.",7/21/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 613,https://www.congress.gov/bill/118th-congress/house-bill/613,118th Congress (2023-2024),Wayne Ford Racial Impact Statement Act of 2023,,"Torres, Ritchie [Rep.-D-NY-15]",1/27/23,Referred to the House Committee on the Judiciary.,1/27/23,"Civil Rights and Liberties, Minority Issues",Criminal procedure and sentencing,Detention of persons,Government information and archives,Legislative rules and procedure,Racial and ethnic relations,U.S. Sentencing Commission,Correctional facilities and imprisonment,Congressional oversight,Administrative law and regulatory procedures,Judicial procedure and administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2874,https://www.congress.gov/bill/118th-congress/house-bill/2874,118th Congress (2023-2024),Flight Education Access Act,,"Allred, Colin Z. [Rep.-D-TX-32]",4/26/23,Referred to the House Committee on Education and the Workforce.,4/26/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 310,https://www.congress.gov/bill/118th-congress/house-resolution/310,118th Congress (2023-2024),"Condemning the inaction by the Islamic Republic of Iran in addressing the poisoning of Iranian schoolgirls, the Daughters of the Iranian Revolution.",,"Jackson Lee, Sheila [Rep.-D-TX-18]",4/20/23,Referred to the House Committee on Foreign Affairs.,4/20/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2953,https://www.congress.gov/bill/118th-congress/house-bill/2953,118th Congress (2023-2024),FAIR Act of 2023,,"Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]",4/27/23,Referred to the House Committee on the Judiciary.,4/27/23,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4973,https://www.congress.gov/bill/118th-congress/house-bill/4973,118th Congress (2023-2024),Community-Based Gang Intervention Act,,"Cárdenas, Tony [Rep.-D-CA-29]",7/27/23,Referred to the House Committee on Education and the Workforce.,7/27/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2977,https://www.congress.gov/bill/118th-congress/house-bill/2977,118th Congress (2023-2024),Behavioral Health Crisis Care Centers Act of 2023,,"Smith, Adam [Rep.-D-WA-9]",4/27/23,Referred to the Subcommittee on Health.,5/5/23,Health,Building construction,"Drug, alcohol, tobacco use",Emergency medical services and trauma care,Employee hiring,Mental health,Health facilities and institutions,Lawyers and legal services,Health programs administration and funding,Employment and training programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4182,https://www.congress.gov/bill/118th-congress/house-bill/4182,118th Congress (2023-2024),Men’s Health Awareness and Improvement Act,,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",6/15/23,Referred to the Subcommittee on Health.,6/16/23,Health,Government studies and investigations,Cancer,Mental health,Executive agency funding and structure,Health promotion and preventive care,Department of Health and Human Services,Congressional oversight,Cardiovascular and respiratory health,Digestive and metabolic diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4812,https://www.congress.gov/bill/118th-congress/house-bill/4812,118th Congress (2023-2024),Food for Thought Act of 2023,,"Schiff, Adam B. [Rep.-D-CA-30]",7/20/23,Referred to the House Committee on Education and the Workforce.,7/20/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3625,https://www.congress.gov/bill/118th-congress/house-bill/3625,118th Congress (2023-2024),Ruthie and Connie LGBTQI Elder Americans Act of 2023,,"Bonamici, Suzanne [Rep.-D-OR-1]",5/24/23,Referred to the House Committee on Education and the Workforce.,5/24/23,Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 54,https://www.congress.gov/bill/118th-congress/house-resolution/54,118th Congress (2023-2024),"Affirming the role of the United States in improving access to quality, inclusive public education and improving learning outcomes for children and adolescents, particularly for girls, around the world.",,"Meng, Grace [Rep.-D-NY-6]",1/24/23,Referred to the House Committee on Foreign Affairs.,1/24/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 526,https://www.congress.gov/bill/118th-congress/house-resolution/526,118th Congress (2023-2024),"Reaffirming the importance of the United States promoting the safety, health, and well-being of refugees and displaced persons in the United States and around the world.",,"Lieu, Ted [Rep.-D-CA-36]",6/20/23,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6/20/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
